25344,386,The Scarlet Letter
33,3045,The Scarlet Letter
10827,265,Discourses on the First Decade of Titus Livius
13620,158,The World's Greatest Books — Volume 13 — Religion and Philosophy
20776,899,Encyclopedia of Needlework
50781,321,The Mystery Ship: A Story of the 'Q' Ships During the Great War
521,3406,The Life and Adventures of Robinson Crusoe
5340,195,Further Chronicles of Avonlea
10556,285,The Old Man in the Corner
640,247,The Yellow Fairy Book
13642,155,The Journal of Negro History, Volume 1, January 1916
4693,203,Famous Affinities of History: The Romance of Devotion. Vol 1-4, Complete
150,893,The Republic
30344,251,The Fortunate Mistress (Parts 1 and 2): or a History of the Life of Mademoiselle de Beleau Known by the Name of the Lady Roxana
